product_name,review_date,reviewer_name,reviewer_gender,reviewer_total_reviews,helpful_badge,award_count,review_title,review_content
Eros Parfum,01/08/2025,ITX,M,92,HELPFUL REVIEW,8,Creamy Niche Leather,"Today I finally had the opportunity to test this 2024 hype fragrance in a perfumery. Does it live up to the hype? After almost 2 hours, I can clearly say: YES! It starts extremely leathery and smoky, with the frankincense apparently serving only as an enhancer for the leather note and not being as distinctly perceivable as, for example, in This Is Him!...."
Eros Parfum,10/04/2024,Patrick83HC,M,22,,8,Underestimated,"The Boss Bottled Absolu is very underrated; I hardly see anyone talking about the scent. I received a sample and tested it, and I must say that I like it so much that I am considering getting it as my first Boss fragrance since I really like the Boss Bottled line. The scent starts off leathery; I find the leather note really nice, and with the incense, it becomes even more beautiful. Although I hate leather in perfumes, I find the leather here really lovely as it is not too overpowering but still present. The scent becomes more pleasant and settles down a bit.

The longevity was very good for me; it lasted all day. After about 7-8 hours, it is still there but not as strong, fading more into the background. The next day, that is today, I can still smell it, but only very faintly.

The bottle is really beautiful; I like the bottles from the Boss Bottled line, and especially with this one, the color is really nice."
Eros Parfum,02/08/2025,DoK,M,7,HELPFUL REVIEW,9,"WOW, is this supposed to be a designer fragrance?","Who would have thought that a Boss scent could excite me again after I dove into the world of niche fragrances? Don't get me wrong, some designer fragrances, like Armani Code (2024) EAU DE PARFUM or Bleu de Chanel Parfum (and a few others), still accompany me often because on some days I just want a straightforward scent around me.

But this Boss release really surprised me. It is not the ""typical"" designer fragrance, but it's also not absolute niche. But let's be honest, the boundaries often blur anyway. Whether this is due to a trained nose or whether many niche fragrances are taking a more mass-market approach is another question.

I can't help but compare ""Boss Bottled Absolu | Hugo Boss,"" at least in principle, with Dior Homme Parfum (2014) (God bless it and please forgive the crazies selling it at completely inflated prices here).
What both fragrances share in my perception is this really beautiful dark and masculine leather. While the implementation in Dior Homme Parfum (2014) was sometimes a bit more challenging and I often wondered what occasion I should actually wear the scent for, that is not the case with the Boss at all.

Here you get this deep, dark leather and also a very intense incense. Both notes can quickly become challenging because they can be very dominant.
These notes are also dominant here, and I find it remarkable how harmoniously the scent has been composed as a whole. I can't claim that I can distinctly smell Davana or cedarwood here, but they obviously manage to round the fragrance off beautifully.

I am thrilled. It's amazing what you get for your money here.
Anyone who likes leather fragrances and isn't completely averse to incense must definitely give this scent a chance."
Eros Parfum,10/10/2025,NorCal236,M,2,VERY HELPFUL REVIEW,5,"Top, but definitely not blind-buy material","I really like Boss Bottled Absolu… absolutely!

With the classic Bottled DNA, Absolu has pretty much nothing to do; instead, you get a dark, intense scent that feels like it lasts forever.

The similarity to Layton doesn't quite resonate with me, as Layton tends to go in a ""fruity"" direction with the apple and lavender notes; I do see the resemblance to Carlisle more, although there the patchouli note comes through much stronger in my opinion.
To me, Absolu smells extremely well-balanced, with something reminiscent of dark chocolate and spices in the result.

When you consider that 50ml are sometimes priced at €60 at Douglas and similar stores, one might almost think about ordering Absolu just to try it. However, I would rather advise against that and suggest testing the scent first (it's available everywhere).
The intensity and the scent profile will certainly not appeal to everyone, and especially in the office, school, etc., Absolu runs the risk of becoming quite overpowering if you apply more than 3 sprays.

In conclusion: Aside from the classic EdT/EdP, it is undoubtedly my favorite in the line, but still better to test it first, then buy ;)"
Eros Parfum,04/02/2025,AlexB1986,M,5,HELPFUL REVIEW,6,Not a normal designer fragrance,"This Boss is not a normal designer fragrance. The scent experience is much more complex and interesting. When I smelled it for the first time, I was immediately thrilled! From Hugo Boss? Frankincense, leather, cedarwood You get exactly that! I think this scent is simply MEGA! Wearing the fragrance, you receive a warm scent curtain in front of your nose that caresses it like..."
Eros Parfum,05/05/2025,lunala,M,11,,8,Dark Horse Layton,"I believe the thirty-second positive review of this fragrance is no surprise anymore. Nevertheless, I would like to briefly share my own two cents with a pinch of experience.

Boss Bottled Absolu is a powerhouse on every level. For me, it's a niche fragrance, packaged and sold in designer clothing. Dark, mysterious, present. Not classic designer synthetic, but pure, genuinely enjoyable fun. Although it took me about half an hour to fully get my bearings after the first spray, I now love the scent very much. Especially since the price for what is offered is more than pleasant.

I found the comparison to Layton interesting; I hadn't come across it until recently. Now that I have smelled it, I think: Yes, there is a strong similarity. Absolu is for me Layton, but with slightly less sweetness and darker. Of course, it's not a 1:1 comparison, but the basic DNA is present in both, and I find that somehow cool. I do think I would prefer Layton due to its increased versatility; however, considering the price, Absolu definitely remains the choice.

Longevity/sillage are fantastic. Almost too strong: 2 sprays, and I was approached multiple times about what a strong perfume I was wearing today. This can be good or bad depending on the situation.

Season? Cold. I'm not someone who assigns fragrances to seasons, but wearing this in the height of summer could count as public indecency.

So I love the scent, as you can surely read, and I will definitely get a second bottle as soon as mine is empty. Even if nothing from Boss has wowed you so far, you must try Absolu; it's a hidden gem. :)"
Eros Parfum,01/28/2025,ArtXScent,M,60,,5,This is a declaration of war!!!,"It is loud and clearly challenges the entire niche. And yes, it has what it takes. Finally, the designers have realized that they also need to be loud and oriental, and that's exactly how the fragrance starts. The first impression was simply: Wow, and this comes from a designer. You have pure animalic here. You have leather and incense that together remind me of the ""cow..."
Eros Parfum,01/17/2025,DopeBoi,M,19,,6,"Married to the Elixir, but having an affair with the Absolu","I really don't like incense and patchouli, not at all. But fragrance notes like these guarantee a strong presence. When I smelled the Elixir, I found it intense, reminiscent of Sauvage Elixir, I liked it, sprayed on clothes and skin, let it settle, great scent. I hesitated to buy it, why? No idea. A year goes by, Bottled Elixir is still on the list. I saw the Bottled Absolue at the local perfumery, with (in poor light) an identical bottle. Applied it and fell in love. The Elixir is sweet, somehow more charming, you like having it around. Incense mixed with leather, an absolute room-filler and it has been lasting on my jacket for 2 weeks. Again and again a hint of Bottled Absolue in my nose, simply wonderful. Absolutely recommended for those who enjoy sweet and spicy scents.

I'm sorry Elixir, but I love your little sweet brother... It's me, not you!"
Eros Parfum,03/01/2025,TheD315,M,21,,7,An absolute masterpiece!,"What can I say about this fragrance, except Wow! In my opinion, the best flanker since the discontinued Boss Bottled Intense! This fragrance is a concentrated dose of attractiveness and spice in a bottle! A very successful dark, warm scent for the colder days. Beautifully leathery, woody, and sweet. A very pleasant and almost addictive combination. With this fragrance,..."
Eros Parfum,09/25/2024,DannyR,M,7,,6,"""I'm not that kind of person, honestly!""","When I heard this sentence, or something similar, from a date during my single days, all alarm bells would ring for me, and I would internally conclude the matter. ""They all say that,"" I thought to myself. Maybe this woman really isn't that kind of person, even if her first appearance suggests otherwise.

However, I neither have the time nor the desire to be convinced otherwise. The first impression counts, after all.

I recently experienced something similar in the perfume store while searching for a new autumn or winter scent. By chance, I spotted a new flanker of Boss Bottled.

""How many are there now?"" I thought. ""Definitely 10."" I quickly checked Parfumo and could hardly believe my eyes. There are exactly 30!

Another one... nobody needs that?! Since sniffing fragrances is less time-consuming and, above all, less nerve-wracking than dating, I simply sprayed the new Boss Bottled Absolu on a paper strip. And then I was shocked.

From the very first second, I perceive a very potent, woody, sweet-spicy scent. ""This smells more niche than many niche fragrances,"" I think to myself. I have to keep smelling it and toss the other test strips away immediately so I don't get confused.

I like it more and more and it reminds me a bit of ""Red Tobacco | Mancera,"" whose DNA I truly love, although I find it not very suitable for everyday wear and a bit too playful. The Boss Bottled Absolu smells grown-up, masculine, and serious compared to Red Tobacco. Less sweet, yet the scent is clearly spicy-sweet and strongly leans towards Parfums de Marly.

I usually can't pick out the individual notes, but anyone who enjoys fragrances with a spicy incense DNA will surely find this appealing. And wow, it's really strong! Longevity and sillage are above average and justify the slightly higher price in my opinion.

""I’m not that kind of person, honestly!"" I hear the new Absolu saying among the 29 other Boss Bottled flankers. And this time, the statement is even true, because the scent is really different from its relatives and deserves its own, individual name to stand out from the crowd.

One of the best and most interesting scents for the cold season this year. Give it a chance."
Eros Parfum,01/22/2025,FloriShori,M,4,,5,Signature for Colder Days,"This is my first review and I will keep it brief. I had read a lot about Boss Bottled, watched numerous videos. And yet, when I first experienced it, I was blown away. The mix of (light) apple, cinnamon, and this perfect vanilla in the drydown is quite unusual for a designer fragrance. I never perceived the older versions of this line like this, but Boss Bottled..."
Eros Parfum,02/26/2025,DingoEurope,M,13,,6,Like Layton but darker. And cheaper.,"This Boss also has the classic Boss DNA, of course: If you really don't like it, there's no need to read further.

For those who are not averse to it, a truly interesting new touch develops from the familiar DNA. It increasingly reminds me of Layton (without being a full-fledged dupe), which smells good but is way too expensive. At the same time, it is darker, more suited for evenings than casual wear, and more autumn/winter than summer.

In my opinion, it could be a tad less sweet and/or synthetic, but many popular fragrances are too sweet or synthetic for me as well, so don't let that deter you.

Since the price is much lower compared to its original, it earns a few extra points.

The longevity was surprisingly good! I could still smell it after 12 hours!

Feel free to give it a try."
Eros Parfum,11/09/2024,Wahrvin,M,3,,4,Boss Bottled Oriental? Absolutely.,"Very good opening with a lot of oriental spice and an alcoholic base. The scent character of the very strong opening remains, only the intensity decreases to a more approachable, pleasant, muted level. At the same time, it also becomes slightly sweeter. Nevertheless, Boss Bottled Absolu remains a clear men's fragrance.

I really like this opening, both in terms of performance and pure scent. It is definitely a men's fragrance with incredible longevity. Furthermore, one clearly gets the impression of a niche perfume.
Important: You have to dare to wear this perfume, as it is not accessible to everyone's nose. But that is not what Boss Bottled Absolu wants, and that's a good thing."
Eros Parfum,07/05/2025,kevmeister,M,16,,3,Pretty Awesome,"I received a sample of Boss Bottled Absolu and tested it blind.

I approached it completely without expectations and was quite surprised.

At the top, it was super strong leather, which I really liked. However, I perceived the incense a bit as a flaw. Maybe it's just not for me. The sillage was already extreme; I didn't smell anything else at first.

In the drydown, it becomes quite close to the skin and noticeably milder. Nicely woody, very pleasant.

For the price, it's an absolute steal! I can highly recommend it."
Eros Parfum,12/06/2024,Supreks,M,2,,5,Where Does Niche Begin and Where Does Niche End,"It was one of those days when I was browsing in my favorite perfume shop, curiously searching for a new olfactory adventure. With a smile, the saleswoman handed me a small sample. “A warm scent,” she said, “Boss, but with a touch of niche.” Her words sounded like a promise that stirred a quiet excitement within me. What could that mean? A scent from Boss that “acts..."
Eros Parfum,01/17/2025,Saraujo,M,3,,7,Super Designer for Winter,"Boss Bottled Absolu is, for me, one of the best designer releases for winter in recent years. I also find the design quite nice. It's nothing incredibly daring, but the dark bottle directly conveys the fragrance direction.

The first seconds after application may seem “typically designer,” but as the scent develops a bit, it shows its true face, and this impression stayed with me from the first application.

I am a big fan of leather, but I prefer fruity leather (the master of this category is, of course, Widian London). However, Boss Bottled Absolu goes in a spicier yet still fitting direction. The scent is simply dark and masculine, but I don’t find it ""too old."" One might think that the notes target an older male audience. I’m in my early 20s and find the scent quite suitable for me!

In general, I find the notes very well balanced: The leather is supported by other notes that give it depth without falling too far in one direction. Despite its spiciness and depth, the scent does not clash - it is different, (especially in the designer sector!) stands out from the mainstream, and still receives compliments from those around.

For me, Boss Bottled Absolu is a great companion for the cold season. Anyone who doesn't have a dark, spicy winter fragrance should definitely give it a try - especially when considering the price/performance ratio. Sillage and longevity are truly in the perfect range, and you can perceive a beautiful development!"
Eros Parfum,12/14/2024,Dionysos2022,M,946,,5,In the Glyptothek in...,"... Munich on Sunday, one can admire the figures of the ancient Greeks and Romans. Outside, it is cold and foggy. In front of the sculptures, such as the Munich Kouros and Barberini Faun, which are over 2000 years old, stands a well-groomed, fit middle-aged man. He wears a fitted white turtleneck sweater and white jeans with white sneakers. If he weren't breathing, one might think he is also a sculpture. He is simply mysterious and dark.

Upon applying this fragrance, the first thing that hits the nose is a leathery smokiness with a sweet note. The patchouli adds a dark quality to the scent, while the myrrh contributes resinous, mossy accords. With the davana, fruity spicy and slightly floral notes blend in, rounded off by the woodiness of cedar. This fragrance has a strong masculine twist. The two ladies Annick Ménardo and Suzy Le Helley have created a perfume for men here that, alongside the Elixir, is a true men's scent for Hugo Boss.

The longevity and sillage are very good.

Here we have a fragrance that I see for men aged 21 and up, but it's open-ended above that. It is wearable throughout the year except on warm and hot days. It is an all-rounder that can be worn both in the office, during leisure time, or in the evening when going out, and it will definitely make an impression. I actually see it less on women, but that doesn't mean they shouldn't give it a try.

Anyone who enjoys a smoky, leathery, dark, fruity scent will find a good match here and should give it a go. When it comes to prices, one just has to look for where it can be found at a reasonable price."
Eros Parfum,03/04/2025,DrColdflame,M,4,HELPFUL REVIEW,3,"Timeless, elegant, and innovative","Boss Bottled Absolu is, for me, a completely new departure from the previous Bottled DNA and offers a more intense, modernized interpretation of the classic. The combination of fruity apple notes, spicy accords, and a warm, woody base creates an elegant, masculine result. In the top note, the scent is fresh and fruity, with dominant apple notes captured by cinnamon and bergamot. This gives the fragrance a classically warm touch. In the heart note, sharp aromas like cinnamon and nutmeg prevail, adding a slightly sweet depth to the scent. The base remains a legacy of the original Boss Bottled and is a sensual blend of sandalwood, cedar, and vanilla. Performance and longevity are outstanding... for everyday school use, it's almost too much. In my opinion, the fragrance definitely has a niche character and nothing designer-like."
Eros Parfum,05/31/2025,ComputerMaus,M,264,,5,Absolutely Awesome,"Hugo Boss has some bestsellers in its portfolio (Boss Bottled EAU DE TOILETTE, Hugo EAU DE TOILETTE, The Scent for Him EAU DE TOILETTE), but for a long time, it has been ridiculed as a label with rather mediocre fragrances. However, the men's tailor no longer wants to sit back and is determined to break into the ranks of the most esteemed designers and position itself alongside much more appreciated brands like Dior, Chanel, Tom Ford, or Louis Vuitton. And after recent successes like The Scent Magnetic for Him and ""Boss Bottled Elixir | Hugo Boss,"" which have also been praised in the community for their quality, they are on the right track.

And now ""Boss Bottled Absolu | Hugo Boss,"" to which I wanted to dedicate a review for some time.
Because when I first tried it at the well-known turquoise cosmetics store, I was more than just positively surprised. Alongside my personally favorite Hugo Boss scent, ""Boss Bottled Triumph Elixir | Hugo Boss,"" Boss Bottled Absolu is truly the greatest and best creation of the German fashion label.
Strong, old, very high-quality leather appears together with an almost overwhelming sweetness, along with incense and patchouli as a base. All of this is wonderfully blended together, so that no note completely takes over, but all directions-leathery, smoky, spicy, sweet-form a quartet with equal presence. An absolute date fragrance.
I find the Davana interesting here, which is not often used as a sweet note; usually, vanilla, tonka, or benzoin are chosen. But it has its own charm and fits beautifully between the characters of the other three.

Boss Bottled Absolu has something niche about it, yes, but still, the scent is mass-appealing enough to be successful in a broader market. From this perspective alone, it is excellently crafted.
Additionally, the performance is outstanding. The Absolu projects excellently for 2½ hours, then it pulls back but still radiates for a total of 9 hours. And the fragrance is adorned with one of the most beautiful bottles in the entire line.

Hugo Boss is on the right path. If the future creations of the label maintain the same quality, the designer will surely find itself alongside the aforementioned brands soon."
Eros Parfum,10/03/2024,NiceSmell,M,241,,5,"Good Flanker, finally a Boss again","The Boss Bottled Absolu is, after a long time, a Boss that I like. After the last creations were a bit boring for me, the Absolu convinces me again.

It starts off strong, sweet, yet with a certain extra.
In the opening, the leather hits me with well-crafted incense holding back in the background. Not too much of everything, yet noticeable.

As it develops, myrrh and patchouli are also well executed here.

And in the base notes, you find davana and cedarwood.

A scent perfect for the upcoming or current autumn. Perfect for dreary weather and winter. Too strong and heavy for me in summer.

Longevity and sillage are good.

And the bottle looks very elegant as well. It makes a statement."
Eros Parfum,02/16/2025,Kriggz,M,5,HELPFUL REVIEW,3,A Mysterious Balm,"When I opened the sample sent to me, I was immediately greeted by a spicy-warm, dry, slightly fruity note that reminded me in a certain way of a well-known tobacco perfume.

As soon as I sprayed it, a resinous, balsamic warmth enveloped me, which I would primarily attribute to myrrh. It is this very balsamic warmth that, together with the prominent incense, gives rise to an oriental, mysterious touch. Starting with a leather note, this is united by patchouli into a deep, earthy, masculine presence, which is completed by cedarwood. And then, more and more, this dry, warm fruitiness emerged, which had greeted me at the very beginning: davana.

I perceive the scent as spicy and subtly oriental. A certain animalic quality can definitely be noted. The sweetness seems pleasantly rounded to me and is more of a nice side effect of the composition rather than being in the foreground. The notes come together to form a complex, deep overall composition that certainly does not need to hide from the niche. Thus, a warm, mysterious, powerful, masculine fragrance emerges, which is particularly suitable for going out, but also for everyday wear in the cold autumn and winter air."
Eros Parfum,06/01/2025,Dufti1985,M,43,,4,Sweet Type for Cold Days,"For many years, Boss Bottled EAU DE TOILETTE was a loyal companion for me. In the meantime, I've gotten a bit older and have tried quite a few things - the flankers of the Bottled series offer enough variety to lose track, so I first got a sample of this highly praised candidate:

I can indeed understand the enthusiasm - from my perspective, aside from the classic bottle, it has little in common with the ""regular"" Bottled. Compared to its brother, it is heavier, warmer, resinous, slightly smoky, sweet-leathery, and a whole different ballgame.

I find the sweetness borderline and can understand that it might be too much for some. I enjoy warm incense and resin scents, so I really appreciate it. Longevity and sillage are really great considering the moderate price. You will definitely be noticed.

Compared to ""Red Tobacco | Mancera,"" which many consider similar, I find it less fruity, less synthetic, but more resinous and leathery.

In my view, it is made for cold days - the strong sweetness fits very well with chilly autumn and winter days."
Eros Parfum,02/09/2025,Brosef,M,14,,3,Layton Exclusif's Final Boss,"Well, I have to say: Boss Bottled Absolu is the secret winner in the duel against Layton Exclusif for me. The latter seems to be very popular in the Parfumo community, but to me, Layton Exclusif smells more like an olfactory misstep - or rather, like a trip to the toilet. Seriously, the scent reminds me of a 50-year-old leather couch that has been forgotten in the basement and smells so musty that even the spiders are complaining.

In contrast, Boss Bottled Absolu is a real surprise! It doesn’t have much in common with the original Boss Bottled, except maybe the name, but that’s a good thing. This fragrance is like a spicy, leathery, smoky adventure for the nose - intense, but not overpowering. It’s a designer perfume that doesn’t feel like 4711, but rather like something special. Thanks to the ingredients, it’s the perfect winter scent for me, ideal for special occasions - or simply for days when you want to feel like the king of the office.

In short: Layton Exclusif? No, thanks. Boss Bottled Absolu? Absolutely yes!"
Eros Parfum,02/20/2025,NightRider84,M,1,,1,Pinimenthol Cold Balm as Perfume,"I was tempted to blind order a 50 ml bottle of Boss Bottled Absolu when it was on sale for €52 at Flaconi. Given the extremely positive reviews here, I thought I couldn't go wrong with this scent. Unfortunately, I was very mistaken; this fragrance smells almost 1 to 1 like Pinimenthol Cold Balm from the pharmacy. A herbaceous, bitter-spicy blend, underpinned by a slightly menthol-like freshness.

My toenails are practically curling up, and it almost lifts me off the ground when I smell this ""fragrance."" I absolutely cannot understand the many positive reviews; for me, it is one of the most unpleasant perfumes I have ever smelled, and everyone in my circle found the scent absolutely repulsive.

You probably need to have a very specific taste to like it; I can only recommend testing it in-store beforehand. On a positive note, the sillage and longevity are both above average."
Eros Parfum,02/23/2025,Inos,M,6,,3,Never say never,"Unfortunately, I could never warm up to the Boss Bottled DNA…
Every bottle I saw, I held under my nose, and none suited my taste or took a turn that made me decide against an entry. Therefore, I never thought that (spoiler) one would eventually knock my socks off.

When I learned that a new Boss Bottled was being released, I couldn't resist.
And wow, was it worth it!

The opening surprised me right away. It is an intense, spicy start that captivated me immediately. The leather and incense notes are present from the very beginning. Compared to the earlier Boss Bottled fragrances, this one feels much more complex and masculine.

As the top notes settle, a balsamic warmth unfolds, wonderfully supported by the myrrh for me. The spiciness slowly fades away, making room for a warm, almost honey-like sweetness that comes from the Davana. The Davana is also the big player in the pyramid for me! It gives this fragrance a wonderful depth. It is not overpowering but fits perfectly into the overall very masculine composition.

This scent definitely stands out from the crowd. It feels almost like a niche fragrance. It is more intense, more complex, and for me, an absolute surprise.

What can I say, never say never."
Eros Parfum,10/01/2024,Birdsword,M,4,,4,Undercover BOSS,"""Undercover, the boss mingles with his employees to find out where problems lie and wishes remain unfulfilled.""

Do you still remember the show?
Anecdotally, this bottle tells the story of a designer house that has long made its mark on consumers.
Despite a luxury image, expensive campaigns, and well-known faces from film and television, nothing seems to help lift the brand's image. Sales are declining, and the general opinion of the brand is drifting negative.
The efforts of the management, consisting of yes-sayers and overpaid advertising technicians, are also not helping the brand get back on its feet.
The BOSS is on high alert, ready to address the problems that plague his brand. In a simple black outfit and with a discreet hidden gold chain, he immerses himself with utmost concentration into the everyday life and happenings of his company.
In the first weeks, he receives little attention, as efforts are made to involve him in the process as much as possible. He listens and observes. He sets traps here and there for those who think they can behave superficially and inattentively towards him. The resolution, with wide eyes and amazement, awaits each of you, unembellished, professional, and rewarding every good soul who has engaged with him.-

The Boss Bottled Absolu has truly been a surprise for me. For many, the elixir from last year was the first real step, but it didn't really convince me. The Absolu offers a certain overall package that simply appeals to me in the designer sector. It opens with a sweet-spicy cola, similar to the ASAD from Lattafa, and from here it radiates very strongly - the sillage remains quite stable throughout the entire duration of the fragrance, and the longevity is truly impressive. Even after 24 hours, it is still close to the skin and strong enough on clothing to casually continue wearing the scent. The fragrance then develops, alongside the smoky notes, an animalistic touch, which is very harmoniously integrated into the scent. The typical Bottled apple DNA must not be missing, as it makes the fragrance pleasant and versatile - here the comparisons with Layton and its big brother Layton Exclusif are justified, but in my eyes, this fragrance is neither a replacement nor an alternative for the Exclusif. It simply lacks the niche depth and the dark, noble oud component. Nevertheless, I would see it as the best leather fragrance from the house of BOSS. This release takes the Bottled DNA to a new level, even if it is not yet what it might truly aspire to be in the future - a unique selling point, a true BOSS of fragrances. There are simply too many references to other scents.
I have not been able to test the Shaghaf Oud Azraq yet, but it is read as a niche version of this fragrance - this alone would underline my statement here.

And now to the elephant in the room: The price.
€145 for 100 ml RRP.
Anyone who buys at these prices is simply to blame themselves.
Still, I took the plunge during the supposedly good sale, also out of fear of a too-quick reformulation. Because the H/S of the fragrance really made the purchasing decision easy for me."
Eros Parfum,06/20/2025,Fabian2710,M,13,,3,Boss Bottled Absolu - a great fragrance,"I have been testing Boss Bottled Absolu for about a year now and I can say: It is a fragrance that I don't want to miss anymore, especially in the cooler season. The first impression right after spraying it is pleasantly fresh and slightly fruity. After just a few minutes, you can feel the warmth setting in. The cinnamon comes through really well, not too sweet, but nicely..."
Eros Parfum,11/06/2025,Kmayha,M,5,,2,Beastmode in a Bottle,"That I would ever write something like this about a Boss Bottled fragrance, I never expected..

Actually, I had already written off Boss Bottled after the countless flankers (all of which have been disappointing for me so far). By chance, I stumbled upon the Absolu here on Parfumo and was intrigued by the strong reviews to give it a try. So off to the nearest drugstore and a spritz on the back of my hand. I was immediately impressed! The scent reminded me of PDM Layton, only with less freshness and more spice. Resinous/smoky, with a slight sweetness. I immediately bought a 100ml bottle and wore it for the first time at the office today. I was approached multiple times throughout the day, asking what fragrance I was wearing. Even my wife could still detect it in the evening, 10 hours after application, wow! Longevity and sillage are therefore extremely good, and that from a Boss Bottled. I never expected that…

Long story short: great scent with outstanding performance. I would already call this Beastmode quality. A clear recommendation to buy!"
Eros Parfum,10/23/2025,CBeckFFM,M,1,,1,Don't Get Too Caught Up in the Hype…,"I was led to a blind buy by various reviews and opinions and I am a bit disappointed. I find the scent itself very good and I like it, so it was definitely not a bad purchase.
However, I cannot share the assessment as Fragrance of the Year. The niche has quite a bit more to offer.

In the top notes, there is a lot of leather that quickly fades, making way for wood and incense. Simple but nice."
Eros Parfum,01/12/2025,JimmysScents,M,10,,2,Absolutely (t) Brilliant!,"Who would have thought that after the Elixir by HBB, which is quite successful, there would be another enhancement? I took my time with this statement to thoroughly test this fragrance, so I wouldn't judge too hastily and say it wasn't that great before I let myself be swayed into this review. It's astonishing that this flanker evokes such different memories in me; sometimes I think I smell a Red Tobacco, then again a bit of associations from the Bottled Elixir. I can't pin it down and say: It definitely smells like this or that… no, it's a bit of everything, and yet there's something unique about it. What makes this fragrance special for me is the Davana, the leather, and the incense in combination, which I can smell well and gives it a nice twist. I also noticed that fragrances created in collaboration with at least two or more perfumers in the industry usually receive a good reception or become a sales hit. Like in this case with Annick Ménardo and Suzy Le Helley (who admittedly doesn't have as long a list of creations as the former) but still: Just like with the HBB Elixir before, they created something beautiful together. I see this phenomenon with many other hits that have come out over the years, like the legendary AdG EDT (in which Annick Ménardo also contributed to this hit), ""La Nuit de L'Homme"" EDT, or ""Tuscan Leather,"" to name just a few, where there was a collaboration of different perfumers. There are several other well-known fragrances that are currently not coming to mind as I write this review, but they should be quite famous, so pay attention to that. Usually, a beautiful fragrance hit comes out of it that later has or finds many fans. I mean, I heard that in the past, ""parfum creators/perfumers"" positively influenced or inspired each other, which is certainly possible; I don't know if that's true or complete nonsense, whatever. Also, the newer fragrances, including the Gucci Guilty Elixir, which is admittedly quite new like HBB Elixir and the ""Absolu"" in this case, have to establish themselves first to become a hit. But these are the fragrances that are mostly positively accepted by the majority and are well-made perfumes, just like those mentioned. It's not the case with all perfumes that have actually become well-known sales hits over the years (like with Maestro François Demachy, who created many heavyweights starting from the Dior Homme range (Parfum, Intense, etc.) to the Sauvage range, which he also created alone as far as I know. And despite that, they became big hits. That doesn't mean anything. But one thing must be remembered for the future: At least I will remember this for myself, when a fragrance comes out that has been created by more than one person or was developed in collaboration: Then there is a VERY high probability that it will be good or at least a potential success or bestseller."
Eros Parfum,10/01/2024,Joein,M,7,,2,A Teenager Becomes a Man,"If Boss Bottled were a teenager, it would have become a man with the release of the Absolu. And Boss has done a lot right in its various product lines over the past years. Starting with the marketing, where they brought in a lot of prominent support (Chris Hemsworth, Emma Roberts, Jacob Elordi, for example) to truly high-quality fragrances that, especially in the Bottled product line, have now moved far beyond the old Bottled clichés.

During the first scent test, I was surprised that the Absolu and the new The Scent Elixir resemble each other a bit. However, this is only superficial. The Absolu feels even more masculine, has a lower sillage, and becomes significantly woodier and fresher over time due to the patchouli notes, while the Scent Elixir is noticeably warmer, more intense, and sweeter. Both fragrances are completely independent, but they show me that the Bottled line is taking a much more elegant approach.

I recently received a sample of the Absolu and subsequently bought a small bottle on sale, which will last me a long time since I always spray it discreetly. But the Boss Bottled Absolu will most likely become a preferred companion for my evening outings. A thoroughly successful release."
Eros Parfum,10/24/2025,7Seven,M,3,,2,Final Boss,"The fragrance opens with a distinctive leather note, enveloped in incense. Davana and cedarwood round off the composition with a warm, woody, slightly sweet base. Despite the lack of official mention, a juicy apple note flashes through, giving the fragrance a subtle freshness. Overall, it is very dark, oriental, and masculine."
Eros Parfum,07/27/2025,Albertovgt,M,2,,3,My Recommendation,"I smelled Hugo Boss Bottled the new Absolu… last year in September and was immediately blown away, the scent has something niche about it, it develops permanently on my skin, it really smells intense. The sillage is really 10/10 for me, my friends could smell it from what felt like 3-4m away. The price is good, but I think it will get even better in the next few months."
Eros Parfum,01/21/2025,Sunseeker93,M,6,,1,Boss Bottled Elixir + X,"From my perspective, BB Elixir has been enhanced with something (good), making it an upgrade. I tested it on a strip and on my skin. It was striking how prominently a honey scent emerged for me after the initial sweetness faded a bit - like sticking my nose into a jar of honey. Then, after maybe an hour, the BB Elixir clearly revealed itself alongside honey, leather, and sweet..."
Eros Parfum,06/09/2025,Skipper21,M,9,,1,"Not a ""normal"" designer fragrance - a statement from Boss","This scent clearly stands out from the crowd. Not an ordinary designer fragrance, but a surprisingly complex, profound composition - and yes, indeed from Hugo Boss! At the first sniff, I was immediately captivated: smoky, spicy, warm - simply powerful. Frankincense, sweet leather, cedarwood - these are exactly the notes that define the profile. The fragrance envelops the..."
Eros Parfum,02/19/2025,AndiNick,M,31,,0,This Apple Falls Quite Far from the Tree,"My experiences with BOSS Bottled ended long before the flankers really took off. Sorry to all who like the EDT, but even as a teenager, the original Bottled was the most boring scent ever for me.

So I didn't really pay any attention to the Bottled line for a very long time. Now and then, I came across a sample of the EDP&Co. Those didn't really grab me either. Accordingly, I was quite surprised at how beautiful the Absolu turned out to be.

The scent starts with a leathery fruitiness. It smells like a sweet apple in a leather bag. The patchouli tingles a bit in the nose and gives the fragrance a certain masculinity.
When the spiciness fades, a kind of candied fruits remains with soft resins. The davana wraps the dry down in a sweet-balsamic finish.

Beautiful for the cooler days. The longevity is definitely above average. On clothing, you can still smell the fragrance easily the next day.

So I love it and I'm excited about the development of the Bottled line. Although the apple could be recognized again, the Absolu has long left boredom behind. It is a clear recommendation.

Best regards, Andi"
